14년	로마 황제인 아우구스투스가 죽다
25년	중국 후한의 광무제가 즉위하다
30년	예수 그리스도가 십자가에 못 박혀 죽다
54년	로마 황제 네로가 즉위하다
64년	로마에서 대화재가 일어나다
96년	로마에서 이른바 ‘5현제 시대’가 열리다
105년	중국 후한의 환관인 채륜이 종이를 발명하다
140년	지구가 우주의 중심이라고 생각한 프톨레마이오스가 활동하다
220년	중국에서 삼국시대가 시작되다
226년	사산 왕조 페르시아가 성립되다
286년	로마가 분할 통치를 시작하다
306년	로마의 콘스탄티누스 황제가 즉위하다
313년	콘스탄티누스 황제가 밀라노 칙령으로 기독교를 공인하다
316년	중국에서 5호 16국 시대가 시작되다(~439)
317년	중국에서 동진이 성립되다(~419)
320년	인도에서 굽타 왕조가 세워지다(~550)
325년	니케아 종교회의에서 성부와 성자가 영원히 똑같다고 하는 아타나시우스파의 교리를 정통으로 취하고 아리우스파를 이단으로 규정하다
375년	게르만족의 대이동이 시작되다
385년	인도에서 찬드라굽타 2세의 치세가 열리다(~413?)
392년	로마가 기독교를 로마의 국교로 승인하다
395년	로마 제국이 동서로 나누어지다
451년	훈족의 왕 아틸라가 서고트족과의 싸움에서 패하다
476년	서로마 제국이 멸망하다
484년	동 · 서교회가 분리되다
486년	프랑크 왕국이 성립하다
500년	인도에서 힌두교가 창시되다
527년	유스티니아누스 1세가 즉위하다(~565)
529년	아테네의 아카데미아가 폐쇄되고 기독교 이외의 철학이 금지되다
534년	유스티니아누스 황제의 《로마대법전》이 편찬되기 시작하다
570년	이슬람교의 창시자인 무함마드가 태어나다
589년	중국에서 수나라가 전국을 통일하다
590년	로마에서 그레고리 1세가 교황이 되다
606년	비잔틴 제국과 사산 왕조 페르시아의 싸움이 시작되다
610년	이슬람교가 창시되다, 웨스트민스터 사원의 건축이 시작되다
618년	중국에서 당나라가 세워지다
632년	이슬람교의 창시자 무함마드가 죽다
637년	이슬람의 칼리프 우마르 1세가 예루살렘을 점령하다
646년	당나라의 현장법사가 인도 여행의 기록을 담은 《대당서역기》를 쓰다
687년	피핀이 프랑크 왕국의 정권을 장악하다
711년	이슬람교도들이 스페인을 침략하다
732년	이슬람교도들이 프랑크 왕국에 패하다
750년	위구르가 내몽골을 통일하다, 아바스 왕조가 성립되다(~1258)
751년	카롤링거 왕조가 성립되다(~1258)
770년	이슬람의 수학자 알 화리즈미가 대수학 개념과 아라비아 숫자를 서구 유럽에 소개하다
800년	프랑크 왕국의 왕 샤를마뉴가 로마에서 교황으로부터 황제로 임명되다, 북방 게르만족인 바이킹(노르만족)의 대이동이 시작되다
862년	러시아가 건국되다
870년	메르센 조약에 의해 프랑크 왕국이 나누어지다
875년	중국에서 황소의 난이 일어나다(~884)
907년	중국에서 당나라가 멸망하다, 5대 10국 시대가 열리다(~960)
916년	거란족이 요나라를 세우다(~1125)
960년	중국에서 송나라가 건국되다(~1227)
962년	신성로마제국이 성립하다(~1806)
1000년	송나라에서 나침반과 화약이 발명되다
1057년	신성로마제국 하인리히 4세가 황제로 즉위하다
1066년	노르만족이 영국을 정복하다
1084년	중국 송나라의 사마광이 《자치통감》을 편찬하다
1096년	제1차 십자군 원정이 시작되다, 십자군과 사라센군이 격돌하다
1115년	중국에서 여진족이 금나라를 세우다(~1234)
1127년	중국에서 북송이 멸망하고 남송이 건국되다(~1279)
1152년	신성로마제국의 황제 프리드리히 1세가 즉위하다
1163년	프랑스에서 노트르담대성당의 건설이 시작되다
1169년	영국이 아일랜드를 정복하다
1192년	일본에서 가마쿠라막부가 수립되다
1204년	십자군이 콘스탄티노플을 점령하고 콘스탄티노플 라틴 제국을 세우다
1206년	몽골의 테무진이 칭기즈칸 자리에 오르다
1215년	영국에서 마그나카르타(근대 헌법의 근거가 된 대헌장)가 제정되다
1241년	한자(HANSA)동맹이 성립되다
1254년	독일에서 대공위시대가 열리다(~1273)
1266년	이탈리아 화가 조토가 태어나다
1271년	마르코 폴로가 동방 여행길에 오르다, 중국에 원이 세워지다(~1368)
1299년	오스만 터키 제국이 세워지다(~1922), 마르코 폴로가 《동방견문록》을 쓰다
1302년	승려 · 귀족 · 평민 등 세 신분의 대표자로 이루어진 프랑스의 의회 삼부회가 소집되다
1305년	교황청을 아비뇽으로 옮기다
1309년	교황의 아비뇽 유수(~1337)
1321년	단테가 《신곡》을 완성하다
1339년	백년전쟁이 시작되다(~1453)
1348년	흑사병이 영국 · 프랑스 · 스페인 · 이탈리아 · 북아프리카로 크게 번지다
1353년	보카치오가 《데카메론》을 완성하다
1368년	중국에서 원나라가 망하고 명나라가 건국되다(~1644)
1369년	티무르 왕조가 성립되다(~1508)
1374년	이탈리아의 인문학자 페트라르카가 죽다
1378년	서구 유럽에서 교회가 분열되기 시작하다(~1417)
1381년	대규모 농민반란인 와트 타일러의 난이 영국에서 일어나다
1414년	교황 요하네스 23세가 소집한 콘스탄츠 공의회가 열리다
1429년	프랑스의 여전사 잔 다르크가 영국군을 격파하다
1431년	잔 다르크가 화형을 당하다
1445년	이탈리아의 르네상스 화가인 보티첼리가 태어나다
1450년	구텐베르크가 금속활자에 의한 인쇄술을 발명하다
1453년	투르크족이 콘스탄티노플을 함락시킴으로써 동로마 제국이 멸망하다
1455년	장미전쟁이 시작되다(~1485)
1475년	미켈란젤로가 태어나다
1479년	에스파냐 왕국이 성립되다
1485년	헨리 7세, 튜더 왕가가 시작되다
1488년	디아스가 희망봉을 발견하다
1492년	콜럼버스가 신대륙(아메리카)을 발견하다
1498년	바스코 다 가마가 인도 항로를 개척하다
1500년	로마 교황청에서 면죄부를 판매하다
1502년	이란의 이슬람 왕조인 사파비 왕조가 창건되다(~1736)
1511년	에라스무스가 《우신예찬》을 쓰다
1517년	루터가 면죄부 판매를 비판하는 〈95개조 의견서〉를 발표하고 독일 종교개혁이 시작되다
1519년	마젤란이 세계를 일주하다(~1522)
